x,y,Country,region_name,SSP1_1p5_Score,SSP1_2p0_Score,SSP1_3p0_Score
9.75,37.25,Tunisia,Bizerte,2.33649393483516,2.61527708809703,3.0
3.25,36.75,Algeria,BoumerdÃ¨s,3.0,3.0,3.0
3.75,36.75,Algeria,BoumerdÃ¨s,1.70734328416086,2.42435159450096,2.87222308785685
4.25,36.75,Algeria,Tizi Ouzou,1.13173945464434,1.70732063079073,2.21247823055713
4.75,36.75,Algeria,BÃ©jaÃ¯a,0.0,0.0,0.0551782288858968
5.75,36.75,Algeria,Jijel,0.0,0.0,0.122195756723804
6.25,36.75,Algeria,Jijel,0.0,0.0,0.0
6.75,36.75,Algeria,Skikda,1.94108017750325,1.98272708490972,1.42806868928094
7.25,36.75,Algeria,Skikda,0.67390988562857,0.923392803648547,0.988818325823353
7.75,36.75,Algeria,El Tarf,3.0,3.0,3.0
8.25,36.75,Algeria,El Tarf,0.254140273938256,0.440475315546557,0.555278355916662
8.75,36.75,Tunisia,Jendouba,0.212840015489247,0.302150427964666,0.480655343301834
9.25,36.75,Tunisia,BÃ©ja,0.0,0.0,0.0
9.75,36.75,Tunisia,Manubah,0.834314465763108,0.869367035706678,0.992963876935744
10.25,36.75,Tunisia,Ben Arous (Tunis Sud),3.0,3.0,3.0
10.75,36.75,Tunisia,Nabeul,3.0,3.0,3.0
0.75,36.25,Algeria,Chlef,3.0,3.0,3.0
1.25,36.25,Algeria,Chlef,0.923642313047763,1.19773931579003,1.44396216566524
1.75,36.25,Algeria,AÃ¯n Defla,0.674931583144973,0.896241392279344,1.03686994951098
2.25,36.25,Algeria,AÃ¯n Defla,0.0,0.0,0.0
2.75,36.25,Algeria,MÃ©dÃ©a,0.384518465928493,0.660367930307984,0.973038172769931
3.25,36.25,Algeria,MÃ©dÃ©a,0.613929410855616,0.972268129728975,1.2968688450994
3.75,36.25,Algeria,Bouira,3.0,3.0,3.0
4.25,36.25,Algeria,Bouira,0.0154476771431583,0.254060650845208,0.627054766060845
4.75,36.25,Algeria,Bordj Bou ArrÃ©ridj,0.61345852478858,1.08529831030436,1.86691506062784
5.25,36.25,Algeria,SÃ©tif,2.42163638530239,3.0,3.0
5.75,36.25,Algeria,SÃ©tif,1.20301240682602,1.57885161847357,1.72294104700127
6.25,36.25,Algeria,Mila,3.0,3.0,3.0
6.75,36.25,Algeria,Constantine,2.69423128784664,3.0,3.0
7.25,36.25,Algeria,Guelma,2.25119704945434,2.97622342732164,3.0
7.75,36.25,Algeria,Souk Ahras,1.38831568941955,1.68734284225971,2.2137541689219
8.25,36.25,Algeria,Souk Ahras,1.05901281078977,1.2236212111649,1.57973850614602
8.75,36.25,Tunisia,Le Kef,1.33338575137238,1.52760429025417,1.95779062074519
9.25,36.25,Tunisia,Siliana,3.0,3.0,3.0
9.75,36.25,Tunisia,Zaghouan,3.0,3.0,3.0
10.25,36.25,Tunisia,Zaghouan,3.0,3.0,3.0
-5.75,35.75,Morocco,Tanger - TÃ©touan,1.51015929349007,2.46300320729854,3.0
-0.75,35.75,Algeria,Oran,3.0,3.0,3.0
-0.25,35.75,Algeria,Oran,3.0,3.0,3.0
0.25,35.75,Algeria,Mostaganem,3.0,3.0,3.0
0.75,35.75,Algeria,Relizane,0.725389103254964,1.03290901267,1.42566833933515
1.25,35.75,Algeria,Relizane,1.23344862485124,1.61371504845879,1.35858766902839
1.75,35.75,Algeria,Tissemsilt,3.0,3.0,3.0
2.25,35.75,Algeria,MÃ©dÃ©a,0.0,0.122237497399892,0.197819203258522
2.75,35.75,Algeria,MÃ©dÃ©a,0.0,0.0,0.0
3.25,35.75,Algeria,Djelfa,0.721596930536531,0.914402929044539,1.23996970201692
3.75,35.75,Algeria,M'Sila,0.0,0.201693630747257,0.316469038926786
4.25,35.75,Algeria,M'Sila,0.0,0.0,0.0
4.75,35.75,Algeria,M'Sila,3.0,3.0,3.0
5.25,35.75,Algeria,SÃ©tif,3.0,3.0,3.0
5.75,35.75,Algeria,Batna,3.0,3.0,3.0
6.25,35.75,Algeria,Batna,3.0,3.0,3.0
6.75,35.75,Algeria,Oum el Bouaghi,3.0,3.0,3.0
7.25,35.75,Algeria,Oum el Bouaghi,3.0,3.0,3.0
7.75,35.75,Algeria,Oum el Bouaghi,3.0,3.0,3.0
8.25,35.75,Algeria,TÃ©bessa,1.11121937620544,1.1913143372043,1.44920867405111
8.75,35.75,Tunisia,KassÃ©rine,2.94159423055187,3.0,3.0
9.25,35.75,Tunisia,Siliana,3.0,3.0,3.0
9.75,35.75,Tunisia,Kairouan,3.0,3.0,3.0
10.25,35.75,Tunisia,Sousse,3.0,3.0,3.0
10.75,35.75,Tunisia,Monastir,2.81100482974322,3.0,3.0
-5.75,35.25,Morocco,Tanger - TÃ©touan,2.55396361889378,3.0,3.0
-5.25,35.25,Morocco,Tanger - TÃ©touan,3.0,3.0,3.0
-3.75,35.25,Morocco,Oriental,2.46680663333785,3.0,3.0
-1.25,35.25,Algeria,AÃ¯n TÃ©mouchent,3.0,3.0,3.0
-0.75,35.25,Algeria,Sidi Bel AbbÃ¨s,2.92708575917828,3.0,3.0
-0.25,35.25,Algeria,Sidi Bel AbbÃ¨s,0.6203571548385,0.827592034974406,1.04336797247731
0.25,35.25,Algeria,Mascara,3.0,3.0,3.0
0.75,35.25,Algeria,Tiaret,3.0,3.0,3.0
1.25,35.25,Algeria,Tiaret,3.0,3.0,3.0
1.75,35.25,Algeria,Tiaret,3.0,3.0,3.0
2.25,35.25,Algeria,Tiaret,1.21997201971469,1.49878875085063,1.1529392946151
2.75,35.25,Algeria,Djelfa,0.0,0.0,0.0
3.25,35.25,Algeria,Djelfa,0.0,0.0,0.0
3.75,35.25,Algeria,M'Sila,0.261248255328786,0.391063801824085,0.26231990874775
4.25,35.25,Algeria,M'Sila,3.0,3.0,3.0
4.75,35.25,Algeria,M'Sila,0.0,0.0,0.0
5.25,35.25,Algeria,Batna,3.0,3.0,3.0
5.75,35.25,Algeria,Biskra,3.0,3.0,3.0
6.25,35.25,Algeria,Batna,3.0,3.0,3.0
6.75,35.25,Algeria,Khenchela,0.396071409986865,0.491462627966558,0.145445625447938
7.25,35.25,Algeria,Khenchela,1.46948010738819,1.86972421551904,2.40550299433451
7.75,35.25,Algeria,TÃ©bessa,1.37229932219751,1.54429101853842,1.67684909785467
8.25,35.25,Algeria,TÃ©bessa,2.69202807810037,3.0,3.0
8.75,35.25,Tunisia,KassÃ©rine,3.0,3.0,3.0
9.25,35.25,Tunisia,Sidi Bou Zid,3.0,3.0,3.0
9.75,35.25,Tunisia,Kairouan,3.0,3.0,3.0
10.25,35.25,Tunisia,Mahdia,3.0,3.0,3.0
10.75,35.25,Tunisia,Mahdia,3.0,3.0,3.0
-6.25,34.75,Morocco,Gharb - Chrarda - BÃ©ni Hssen,3.0,3.0,3.0
-5.75,34.75,Morocco,Gharb - Chrarda - BÃ©ni Hssen,0.0,0.0,0.467604477319025
-5.25,34.75,Morocco,Tanger - TÃ©touan,0.0,0.0581396780006827,0.60363526534169
-4.75,34.75,Morocco,Taza - Al Hoceima - Taounate,1.33815004231949,1.98833657747075,3.0
-4.25,34.75,Morocco,Taza - Al Hoceima - Taounate,2.17641565155598,3.0,3.0
-3.75,34.75,Morocco,Taza - Al Hoceima - Taounate,2.70146175497963,3.0,3.0
-3.25,34.75,Morocco,Taza - Al Hoceima - Taounate,3.0,3.0,3.0
-2.75,34.75,Morocco,Oriental,0.0,0.0,0.0376709203926787
-2.25,34.75,Morocco,Oriental,3.0,3.0,3.0
-1.75,34.75,Algeria,Tlemcen,3.0,3.0,3.0
-1.25,34.75,Algeria,Tlemcen,3.0,3.0,3.0
-0.75,34.75,Algeria,Sidi Bel AbbÃ¨s,0.84120002725432,1.15625617082321,1.7441808172772
-0.25,34.75,Algeria,Sidi Bel AbbÃ¨s,2.02272416002327,2.25450345272979,2.81024797236727
0.25,34.75,Algeria,SaÃ¯da,3.0,3.0,3.0
0.75,34.75,Algeria,Tiaret,2.75071597027202,3.0,3.0
1.25,34.75,Algeria,Tiaret,0.592410154280163,1.36715602388065,1.24536134170428
1.75,34.75,Algeria,Tiaret,0.407986570390001,1.0393779648528,0.596699668274772
2.25,34.75,Algeria,Tiaret,0.0,0.0,0.0
2.75,34.75,Algeria,Djelfa,0.0,0.0,0.0
