Country,Total_Irregular_Migrants,Central_Mediterranean_Route,Western_Mediterranean_Route,Western_African_Route,Other Routes,No. of Irregular Migrants from Northern African Route,No_of_Irregular_Migrants_in_UK
Libya,136,111,9,0,14,120,39
Uganda,383,0,0,0,383,0,0
Mali,107631,81046,1614,22602,2367,105262,33
Cape Verde,0,0,0,0,0,0,0
Djibouti,70,0,0,0,70,0,0
Malawi,3,0,0,0,3,0,0
Liberia,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0
Angola,79,0,0,7,71,7,0
Kenya,6,1,0,0,4,1,0
Seychelles,0,0,0,0,0,0,0
Gambia,24982,18886,149,5670,274,24705,40
Comoros,0,0,0,0,0,0,0
Morocco,82438,1731,38251,27204,15251,67186,49
Niger,121,108,1,6,4,115,54
Burundi,0,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0
Algeria,9411,1082,8196,0,131,9278,3
Sierra Leone,0,0,0,0,0,0,0
Nigeria,7237,4385,50,173,2627,4608,32
Mozambique,2,2,0,0,0,2,0
Central African Republic,105,85,0,2,16,87,9
Zambia,0,0,0,0,0,0,0
Tunisia,2606,2595,0,0,10,2595,2
Gabon,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0
Mauritania,20,5,0,13,0,18,7
Congo,148,48,0,1,98,49,0
Botswana,0,0,0,0,0,0,0
Ghana,8120,5424,105,1688,901,7217,34
Guinea,73550,65753,735,5516,1544,72004,61
Madagascar,0,0,0,0,0,0,0
Togo,7786,6703,70,171,840,6944,67
Sudan,24868,20143,0,74,4650,20217,1836
Cameroon,10642,8705,10,191,1734,8906,42
Eritrea,2675,1829,2,2,839,1833,337
Senegal,181791,49083,2545,128889,1272,180517,95
Rwanda,0,0,0,0,0,0,0
Ethiopia,1378,1138,0,1,238,1139,86
Zimbabwe,129,0,0,0,129,0,0
Chad,353,320,0,4,27,324,25
Somalia,129,13,0,0,114,13,0
Benin,5571,5303,228,11,27,5542,40
